region,arm,rmse_mva,mae_mva
Central_Coast,Uni,45.543411956411134,27.484174127687776
Central_Coast,LU,43.24951886219057,25.775235203806314
Central_Coast,LU-soft,43.370854755315804,25.864627280661065
Central_Coast,GNN-42,36.268651916670514,23.210840268041096
Central_Coast,GNN-123,29.064574724586517,21.514092175155575
Central_Coast,GNN-456,38.81513056280157,23.88426487433651
Hunter_Valley_exc_Newcastle,Uni,17.374874780616018,14.220008805351661
Hunter_Valley_exc_Newcastle,LU,19.39590099133856,13.713669501269724
Hunter_Valley_exc_Newcastle,LU-soft,19.282195339325707,13.794106447395917
Hunter_Valley_exc_Newcastle,GNN-42,18.001277806788412,14.24047236393591
Hunter_Valley_exc_Newcastle,GNN-123,18.488947706805504,14.508531252137697
Hunter_Valley_exc_Newcastle,GNN-456,19.26309223083754,14.613544166056323
Newcastle_and_Lake_Macquarie,Uni,18.44757762347322,14.770818654318061
Newcastle_and_Lake_Macquarie,LU,18.77716761819802,15.272375385552047
Newcastle_and_Lake_Macquarie,LU-soft,18.742832502983394,15.237532035059083
Newcastle_and_Lake_Macquarie,GNN-42,26.09875419643249,20.32335227199699
Newcastle_and_Lake_Macquarie,GNN-123,20.009494121730743,16.308857702848634
Newcastle_and_Lake_Macquarie,GNN-456,23.112724545231696,18.063071821829872
Sydney_City_and_Inner_South,Uni,43.507243983354236,33.89056506679803
Sydney_City_and_Inner_South,LU,43.29919354423039,34.26047693972606
Sydney_City_and_Inner_South,LU-soft,43.29822004833759,34.262816637428905
Sydney_City_and_Inner_South,GNN-42,137.08219086168432,81.50839188218099
Sydney_City_and_Inner_South,GNN-123,139.0723833143006,81.86337724093387
Sydney_City_and_Inner_South,GNN-456,138.1018171519166,81.14474973699191
Sydney_Eastern_Suburbs,Uni,18.767150961743543,15.746583228918507
Sydney_Eastern_Suburbs,LU,18.968919071552737,16.35078426716965
Sydney_Eastern_Suburbs,LU-soft,18.976989337294007,16.35980730055404
Sydney_Eastern_Suburbs,GNN-42,35.958986910702826,29.29221451866379
Sydney_Eastern_Suburbs,GNN-123,28.938502155958478,23.140434421223993
Sydney_Eastern_Suburbs,GNN-456,32.41140623884082,26.25927498402013
Sydney_Inner_South_West,Uni,19.318112318495295,14.586802727322155
Sydney_Inner_South_West,LU,19.87836722006876,15.2504031740858
Sydney_Inner_South_West,LU-soft,19.878352489270455,15.25066215695063
Sydney_Inner_South_West,GNN-42,36.998148202920646,28.219064459606614
Sydney_Inner_South_West,GNN-123,22.87358308962081,18.4622497241685
Sydney_Inner_South_West,GNN-456,26.571635410218537,20.32843500752778
Sydney_Inner_West,Uni,11.639163174630292,8.60781564067488
Sydney_Inner_West,LU,12.103057952086592,9.111810987213975
Sydney_Inner_West,LU-soft,12.103057952086592,9.111810987213975
Sydney_Inner_West,GNN-42,21.68696207252567,17.093789925831757
Sydney_Inner_West,GNN-123,22.833765533492826,19.165857903679974
Sydney_Inner_West,GNN-456,28.456915291078953,23.640383990189743
Sydney_North_Sydney_and_Hornsby,Uni,20.21965029682608,15.964540924965823
Sydney_North_Sydney_and_Hornsby,LU,19.917287766285273,16.019960921484838
Sydney_North_Sydney_and_Hornsby,LU-soft,19.991836635432687,15.995414895195989
Sydney_North_Sydney_and_Hornsby,GNN-42,16.14385221398894,11.841459720407865
Sydney_North_Sydney_and_Hornsby,GNN-123,18.869676209673383,14.14124920453742
Sydney_North_Sydney_and_Hornsby,GNN-456,22.183292185078074,16.823313369451498
Sydney_Northern_Beaches,Uni,23.883546232694645,13.925851953198414
Sydney_Northern_Beaches,LU,24.59400049234792,14.2537974705432
Sydney_Northern_Beaches,LU-soft,24.49307815851218,14.189687379267667
Sydney_Northern_Beaches,GNN-42,19.713415743562003,14.46913845575265
Sydney_Northern_Beaches,GNN-123,22.132106181937633,15.7621059430787
Sydney_Northern_Beaches,GNN-456,21.0151824911468,14.92474552274318
Sydney_Parramatta,Uni,23.762438612489056,19.389648834407016
Sydney_Parramatta,LU,32.08814499596113,25.470070990698584
Sydney_Parramatta,LU-soft,32.08814499596113,25.470070990698584
Sydney_Parramatta,GNN-42,29.40792064779869,26.027960432802598
Sydney_Parramatta,GNN-123,28.215333272287197,25.025824335230777
Sydney_Parramatta,GNN-456,28.94918651729529,24.242726135387056
Sydney_Ryde,Uni,17.588271051281538,12.753375697942621
Sydney_Ryde,LU,16.909519155657602,11.72557179981043
Sydney_Ryde,LU-soft,16.909519155657602,11.72557179981043
Sydney_Ryde,GNN-42,30.147024170936863,26.57122463342297
Sydney_Ryde,GNN-123,25.08569642684383,22.64282997502633
Sydney_Ryde,GNN-456,28.73552016870892,25.362991284342744
Sydney_Sutherland,Uni,21.8633924908382,17.730531511255997
Sydney_Sutherland,LU,21.993273608126767,17.81719877256351
Sydney_Sutherland,LU-soft,21.9958118109483,17.820036209867315
Sydney_Sutherland,GNN-42,34.30552864716303,26.76104889538153
Sydney_Sutherland,GNN-123,29.630880323091443,23.456979375388464
Sydney_Sutherland,GNN-456,39.84214172129337,31.168522106457345
