region,arm,k,n_candidates,WSD_ref_km
Central_Coast,Uni,17,526,3.9830205119589306
Central_Coast,LU,17,526,3.8126078209575436
Central_Coast,LU-soft,17,526,4.247942026947237
Central_Coast,GNN-42,17,526,3.8821798203083424
Central_Coast,GNN-123,17,526,3.932100808462396
Central_Coast,GNN-456,17,526,4.040969084442108
Hunter_Valley_exc_Newcastle,Uni,34,494,8.172563779695947
Hunter_Valley_exc_Newcastle,LU,34,494,7.635214617657341
Hunter_Valley_exc_Newcastle,LU-soft,34,494,8.27214698977866
Hunter_Valley_exc_Newcastle,GNN-42,34,494,7.586842805646559
Hunter_Valley_exc_Newcastle,GNN-123,34,494,7.496713138634404
Hunter_Valley_exc_Newcastle,GNN-456,34,494,7.6742800614775835
Newcastle_and_Lake_Macquarie,Uni,25,487,2.218757990129828
Newcastle_and_Lake_Macquarie,LU,25,487,2.2500770074835406
Newcastle_and_Lake_Macquarie,LU-soft,25,487,2.1952710114034315
Newcastle_and_Lake_Macquarie,GNN-42,25,487,2.2565464098612966
Newcastle_and_Lake_Macquarie,GNN-123,25,487,2.244989970001781
Newcastle_and_Lake_Macquarie,GNN-456,25,487,2.1469274829830045
Sydney_City_and_Inner_South,Uni,17,564,0.6658531768210777
Sydney_City_and_Inner_South,LU,17,564,0.6504221476053463
Sydney_City_and_Inner_South,LU-soft,17,564,0.6566876128782091
Sydney_City_and_Inner_South,GNN-42,17,564,1.0343070937505774
Sydney_City_and_Inner_South,GNN-123,17,564,1.3046628346431681
Sydney_City_and_Inner_South,GNN-456,17,564,1.1530918166333841
Sydney_Eastern_Suburbs,Uni,8,512,1.0813338720237253
Sydney_Eastern_Suburbs,LU,8,512,1.0846659821977678
Sydney_Eastern_Suburbs,LU-soft,8,512,1.0919719165846777
Sydney_Eastern_Suburbs,GNN-42,8,512,1.2346668053700487
Sydney_Eastern_Suburbs,GNN-123,8,512,1.252954206904902
Sydney_Eastern_Suburbs,GNN-456,8,512,1.2826490013476297
Sydney_Inner_South_West,Uni,16,648,1.2770996527216991
Sydney_Inner_South_West,LU,16,648,1.286039098299629
Sydney_Inner_South_West,LU-soft,16,648,1.2780766071250067
Sydney_Inner_South_West,GNN-42,16,648,1.4592179850031803
Sydney_Inner_South_West,GNN-123,16,648,1.374425497855711
Sydney_Inner_South_West,GNN-456,16,648,1.3876540304183798
Sydney_Inner_West,Uni,7,573,1.2618362718029115
Sydney_Inner_West,LU,7,573,1.2745255480952213
Sydney_Inner_West,LU-soft,7,573,1.2745255480952213
Sydney_Inner_West,GNN-42,7,573,1.3097242470372747
Sydney_Inner_West,GNN-123,7,573,1.3089872757413838
Sydney_Inner_West,GNN-456,7,573,1.304116862904205
Sydney_North_Sydney_and_Hornsby,Uni,13,614,1.617848752890232
Sydney_North_Sydney_and_Hornsby,LU,13,614,1.646078316718384
Sydney_North_Sydney_and_Hornsby,LU-soft,13,614,1.6333189074539303
Sydney_North_Sydney_and_Hornsby,GNN-42,13,614,1.592148643050152
Sydney_North_Sydney_and_Hornsby,GNN-123,13,614,1.6348000960010254
Sydney_North_Sydney_and_Hornsby,GNN-456,13,614,1.6367753413878483
Sydney_Northern_Beaches,Uni,14,553,1.8668826616590366
Sydney_Northern_Beaches,LU,14,553,1.747023563671102
Sydney_Northern_Beaches,LU-soft,14,553,1.7184859658573433
Sydney_Northern_Beaches,GNN-42,14,553,1.739409435135335
Sydney_Northern_Beaches,GNN-123,14,553,1.787697748079086
Sydney_Northern_Beaches,GNN-456,14,553,1.7856353244280585
Sydney_Parramatta,Uni,6,510,1.3768157528283491
Sydney_Parramatta,LU,6,510,1.6006114538081422
Sydney_Parramatta,LU-soft,6,510,1.6006114538081422
Sydney_Parramatta,GNN-42,6,510,1.6231519643009216
Sydney_Parramatta,GNN-123,6,510,1.5761307754044025
Sydney_Parramatta,GNN-456,6,510,1.5866886216645657
Sydney_Ryde,Uni,6,624,1.3589261678390339
Sydney_Ryde,LU,6,624,1.3531279542191972
Sydney_Ryde,LU-soft,6,624,1.3531279542191972
Sydney_Ryde,GNN-42,6,624,1.4989622122966264
Sydney_Ryde,GNN-123,6,624,1.5047867597895008
Sydney_Ryde,GNN-456,6,624,1.5001969856993933
Sydney_Sutherland,Uni,10,510,2.140137907976834
Sydney_Sutherland,LU,10,510,2.181201449925748
Sydney_Sutherland,LU-soft,10,510,2.19700466464144
Sydney_Sutherland,GNN-42,10,510,2.1808897762521045
Sydney_Sutherland,GNN-123,10,510,2.370925008068167
Sydney_Sutherland,GNN-456,10,510,2.2386454474937714
