region,arm,radius_km,regret_gbp,rho_pointwise,rho_aggregate,cost_mae_gbp
London,REF,10.0,446620.864155937,0.9999999999999999,1.0,4471079.837722389
London,LU,10.0,643715.2712339113,0.6248017481423268,0.9961091175272794,13131733.231655011
London,GNN,10.0,0.0,0.35732111494008817,0.9951212097803023,12935658.323908126
London,PERM-R,10.0,0.0,0.5839885160053193,0.9955597753899437,17963850.041262303
London,PERM-3R,10.0,8507846.485000003,0.16951622362215404,0.7465920786480197,82968191.13555893
London,SMOOTH-0.5,10.0,7767067.395389837,0.8466409072302467,0.8961831770457942,39250533.99606368
London,SMOOTH-1,10.0,855136.4183118794,0.8493598749864237,0.9230899932724982,32781750.368009374
London,SMOOTH-2,10.0,44890447.48500001,0.6452831882344775,0.820229788057447,64592768.343194894
London,PERM-R/3,10.0,643715.2712339113,0.7685729929253707,0.9993488693372171,6675724.151993781
London,REF,20.0,0.0,0.9999999999999999,1.0,184548.48798316388
London,LU,20.0,0.0,0.6248017481423268,0.998720948180237,810701.3163983331
London,GNN,20.0,0.0,0.35732111494008817,0.9979524259881063,1101798.9580205071
London,PERM-R,20.0,0.0,0.3856061306640467,0.9224758706189676,15282898.825169079
London,PERM-3R,20.0,0.0,0.060358044825500605,0.8318977809744451,25137164.43787737
London,SMOOTH-0.5,20.0,0.0,0.9508126990689746,0.9818170149542536,1383367.5038668325
London,SMOOTH-1,20.0,0.0,0.8614557418199903,0.9528751782187944,6021225.94406149
London,SMOOTH-2,20.0,0.0,0.7736550906768949,0.9354615793653949,4071601.35841347
London,PERM-R/3,20.0,0.0,0.665279690829025,0.9981390530347632,749916.5090290124
TLH2,REF,10.0,4033498.8432407826,1.0,1.0,4565132.457340118
TLH2,LU,10.0,2277896.4666914046,0.28308264189995663,0.939814743953686,8527689.922628418
TLH2,GNN,10.0,3056735.82704325,0.29645309835508055,0.9478687934671984,7262462.919872169
TLH2,PERM-R,10.0,5199563.049790174,0.5418035481492357,0.9809310847327712,6324849.392362814
TLH2,PERM-3R,10.0,1391058.7273950875,0.3334094498859853,0.8879913839978459,10523058.432141984
TLH2,SMOOTH-0.5,10.0,8237698.5509877205,0.8848527918070046,0.8070188707547176,12249049.737614986
TLH2,SMOOTH-1,10.0,4046755.365987733,0.5694067298227151,0.28995998148999536,20127322.70148613
TLH2,SMOOTH-2,10.0,6098304.500987753,0.5898151486893964,0.7675101148775286,40336430.06987918
TLH2,PERM-R/3,10.0,3840884.761691436,0.8285443594864271,0.999367227841807,4737469.140198693
TLH2,REF,20.0,2615090.084296316,1.0,1.0,5693350.824628492
TLH2,LU,20.0,2970039.4460555315,0.28308264189995663,0.9746709306677325,14338790.26760062
TLH2,GNN,20.0,3572156.34035185,0.29645309835508055,0.9911264507816129,8595697.10590778
TLH2,PERM-R,20.0,1552143.2869012207,0.35441066774944324,0.9901823415455854,11866611.158013256
TLH2,PERM-3R,20.0,1764518.3957036734,0.0841740460140619,0.7181089480272369,38727307.9550593
TLH2,SMOOTH-0.5,20.0,8744266.06204325,0.9708197321127466,0.9779853749963437,20042351.153720055
TLH2,SMOOTH-1,20.0,7422267.827043265,0.8689466878375691,0.8650396757599188,63903851.11468143
TLH2,SMOOTH-2,20.0,16488031.572043285,0.6685908575307684,0.8392647223161804,59284307.85759365
TLH2,PERM-R/3,20.0,1772594.1599999964,0.7107608360386644,0.9990623722655931,6702869.741432175
TLH3,REF,10.0,610950.0199999958,1.0,1.0,4254921.5622313535
TLH3,LU,10.0,1495624.494999975,0.22363234868327223,0.7229533687383422,10393206.38053376
TLH3,GNN,10.0,1614451.3400000036,0.28766523149722245,0.8588860472215119,7164667.776517586
TLH3,PERM-R,10.0,1708101.4699999988,0.5393463477651852,0.975746643936661,6070367.556774533
TLH3,PERM-3R,10.0,1099455.3899999857,0.25844951363700525,0.8527344031836006,10637937.052546628
TLH3,SMOOTH-0.5,10.0,5111703.905000016,0.8344453946828493,0.7344408546102136,13356898.04277646
TLH3,SMOOTH-1,10.0,6398361.300000012,0.899768570976035,0.8809781757445438,12091623.821331672
TLH3,SMOOTH-2,10.0,1056321.875,0.8060761176143002,0.710276964569241,16018053.197364826
TLH3,PERM-R/3,10.0,559400.1149999797,0.8434161088994422,0.9993277973319491,4407205.743779331
TLH3,REF,20.0,1652842.38500005,1.0,1.0,5516323.691382893
TLH3,LU,20.0,2646807.8099999726,0.22363234868327223,0.9317435089358772,16711534.594309002
TLH3,GNN,20.0,1650785.0499999672,0.28766523149722245,0.9694942088735523,10724287.334336182
TLH3,PERM-R,20.0,2875266.38000001,0.3868832995804413,0.9884591981147995,9859561.982913744
TLH3,PERM-3R,20.0,1292471.855000034,0.1200046206676856,0.8611340077835019,27107236.168823343
TLH3,SMOOTH-0.5,20.0,16630537.23999998,0.9433513948809535,0.9721925325481331,20324263.58792376
TLH3,SMOOTH-1,20.0,3979069.069999978,0.8648227727280017,0.8226415486603871,28634658.64890315
TLH3,SMOOTH-2,20.0,6698702.754999995,0.6863781252267821,0.7305346751336687,66364584.131793074
TLH3,PERM-R/3,20.0,1728981.6250000447,0.7060329193666853,0.9986619711654926,6268961.809571359
TLJ1,REF,10.0,1291554.4276234508,0.9999999999999999,1.0,5427588.562490367
TLJ1,LU,10.0,8965958.008650288,0.18480459968361346,0.6822123880530969,22291277.30672175
TLJ1,GNN,10.0,17774147.4210103,0.2723320150272165,0.8898689269672319,11230527.048853595
TLJ1,PERM-R,10.0,1346701.269405663,0.5112927716330334,0.9659983949995987,10366370.419619732
TLJ1,PERM-3R,10.0,1094506.269405663,0.24855462152353291,0.8050356257589064,18113772.974493407
TLJ1,SMOOTH-0.5,10.0,408871.269405663,0.8394988717198506,0.8612555228138807,19324384.00675746
TLJ1,SMOOTH-1,10.0,2816226.269405663,0.8319092495243733,0.7944904596226149,25374027.67591318
TLJ1,SMOOTH-2,10.0,6429516.269405678,0.5562881815687947,0.5232100893025223,30609782.824597653
TLJ1,PERM-R/3,10.0,1372394.4276234433,0.8136037971835088,0.9989032717258178,6066482.717272366
TLJ1,REF,20.0,1351430.8641762808,0.9999999999999999,1.0,5253623.123043638
TLJ1,LU,20.0,5570621.493443746,0.18480459968361346,0.6695560778890195,25579709.84512126
TLJ1,GNN,20.0,3384866.635865122,0.2723320150272165,0.9469052952263237,14642579.896678168
TLJ1,PERM-R,20.0,9565546.62859838,0.3224393469669151,0.94160567990142,15795077.257689806
TLJ1,PERM-3R,20.0,3142484.891426105,0.13538463800136122,0.8189058817264705,21761368.351241052
TLJ1,SMOOTH-0.5,20.0,11209950.30762769,0.954542124745994,0.9619195129798783,20601141.27738883
TLJ1,SMOOTH-1,20.0,17284372.07592861,0.8170536347439081,0.863004628251157,28961809.310607225
TLJ1,SMOOTH-2,20.0,5691719.440303139,0.5810367002062141,0.530759259689815,68612075.46657778
TLJ1,PERM-R/3,20.0,1853292.4749381635,0.6448949573917409,0.9974206173551543,7366381.27751752
TLF1,REF,10.0,1296450.0,0.9999999999999999,1.0,5179227.76196596
TLF1,LU,10.0,6469565.0,0.23626770634555058,0.8599432009858001,19295739.344052266
TLF1,GNN,10.0,1041460.0,0.31281707775125744,0.9230132832533208,11136602.833502226
TLF1,PERM-R,10.0,5979150.0,0.6345962530069073,0.9864700686175172,9826037.406729165
TLF1,PERM-3R,10.0,29171199.999999985,0.24708151190901761,0.8245394976348744,22674403.807952296
TLF1,SMOOTH-0.5,10.0,34130399.53222655,0.9537666143131788,0.9608094782023694,10145323.328520084
TLF1,SMOOTH-1,10.0,33870885.0,0.8629993958668096,0.8784312936078233,21220101.3901314
TLF1,SMOOTH-2,10.0,32829854.999999985,0.7889035391873059,0.8401023450255862,32109253.04345583
TLF1,PERM-R/3,10.0,1483285.0,0.8420792899264308,0.9993850328462582,5735011.48069933
TLF1,REF,20.0,3957719.9999999963,0.9999999999999999,1.0,4347701.219060507
TLF1,LU,20.0,31443320.0,0.23626770634555058,0.9779066294766574,21204728.31253171
TLF1,GNN,20.0,3807649.9999999953,0.31281707775125744,0.986111748527937,11120511.55614955
TLF1,PERM-R,20.0,44938440.0,0.49369139663550954,0.9746097216524304,14981743.88659293
TLF1,PERM-3R,20.0,47708715.00000001,0.16174041053137475,0.8651555417888854,32082357.469688132
TLF1,SMOOTH-0.5,20.0,35153145.000000015,0.952772987010367,0.9660893340223337,16603716.339721905
TLF1,SMOOTH-1,20.0,45865090.000000015,0.7877716353000274,0.7984217371054342,37742318.40177085
TLF1,SMOOTH-2,20.0,50282480.0,0.6103591717273193,0.5413367943341986,64757200.334756605
TLF1,PERM-R/3,20.0,6496869.999999996,0.6865689727939949,0.9990403732600932,5922451.887840457
TLF2,REF,10.0,4590035.0,1.0,1.0,6095022.934088651
TLF2,LU,10.0,2592685.0,0.017244134130196678,0.6340610620152655,16720517.551780557
TLF2,GNN,10.0,539220.0,0.19209506930012138,0.852034632008658,9327798.986205922
TLF2,PERM-R,10.0,5658585.0,0.4944445194686667,0.9619563004890751,11019776.650381211
TLF2,PERM-3R,10.0,10608530.0,0.19814286583481053,0.7970475762618942,19142697.68155554
