region,arm,radius_km,dc_mw,cost_mae_gbp
TLC1,Uni,5.0,100.0,6260682.716083849
TLC1,LU,5.0,100.0,6337781.692318323
TLC1,LU-soft,5.0,100.0,5228809.069775261
TLC1,Ref,5.0,100.0,3727511.005257153
TLC1,GNN-oof-42,5.0,100.0,4060392.4290831145
TLC1,GNN-oof-123,5.0,100.0,4196542.311211317
TLC1,GNN-oof-456,5.0,100.0,4266858.208351349
TLC1,Uni,5.0,300.0,6708777.9685541345
TLC1,LU,5.0,300.0,6723132.041446196
TLC1,LU-soft,5.0,300.0,5540463.562586166
TLC1,Ref,5.0,300.0,3893156.03920669
TLC1,GNN-oof-42,5.0,300.0,4195149.376280072
TLC1,GNN-oof-123,5.0,300.0,4354410.621497923
TLC1,GNN-oof-456,5.0,300.0,4442793.335579689
TLC1,Uni,5.0,500.0,6708777.968554132
TLC1,LU,5.0,500.0,6723132.041446196
TLC1,LU-soft,5.0,500.0,5540463.562586166
TLC1,Ref,5.0,500.0,3893156.0392066897
TLC1,GNN-oof-42,5.0,500.0,4195149.376280072
TLC1,GNN-oof-123,5.0,500.0,4354410.621497923
TLC1,GNN-oof-456,5.0,500.0,4442793.335579689
TLC1,Uni,10.0,100.0,9504871.955550045
TLC1,LU,10.0,100.0,9741758.565078238
TLC1,LU-soft,10.0,100.0,7517926.506431558
TLC1,Ref,10.0,100.0,3150613.2854680005
TLC1,GNN-oof-42,10.0,100.0,5420950.978212565
TLC1,GNN-oof-123,10.0,100.0,5182243.459151241
TLC1,GNN-oof-456,10.0,100.0,5375105.465228178
TLC1,Uni,10.0,300.0,15599748.24434955
TLC1,LU,10.0,300.0,15987923.427011391
TLC1,LU-soft,10.0,300.0,11857427.866812987
TLC1,Ref,10.0,300.0,5126508.726302085
TLC1,GNN-oof-42,10.0,300.0,8419918.44358565
TLC1,GNN-oof-123,10.0,300.0,7863242.985873057
TLC1,GNN-oof-456,10.0,300.0,8510827.74683035
TLC1,Uni,10.0,500.0,15599748.24434955
TLC1,LU,10.0,500.0,15987923.427011391
TLC1,LU-soft,10.0,500.0,11857427.86681299
TLC1,Ref,10.0,500.0,5126508.726302085
TLC1,GNN-oof-42,10.0,500.0,8419918.443585651
TLC1,GNN-oof-123,10.0,500.0,7863242.985873057
TLC1,GNN-oof-456,10.0,500.0,8510827.74683035
TLC1,Uni,20.0,100.0,16004304.885959525
TLC1,LU,20.0,100.0,16712387.204012182
TLC1,LU-soft,20.0,100.0,11284256.866880935
TLC1,Ref,20.0,100.0,2141110.7167333867
TLC1,GNN-oof-42,20.0,100.0,6524171.929510603
TLC1,GNN-oof-123,20.0,100.0,6167112.6135488795
TLC1,GNN-oof-456,20.0,100.0,7419592.632950422
TLC1,Uni,20.0,300.0,22222411.243197944
TLC1,LU,20.0,300.0,22643235.766186547
TLC1,LU-soft,20.0,300.0,18076692.397903334
TLC1,Ref,20.0,300.0,5000227.099613523
TLC1,GNN-oof-42,20.0,300.0,10901224.246804021
TLC1,GNN-oof-123,20.0,300.0,10699223.20149063
TLC1,GNN-oof-456,20.0,300.0,11806557.461339211
TLC1,Uni,20.0,500.0,32808432.17438611
TLC1,LU,20.0,500.0,34258211.43377385
TLC1,LU-soft,20.0,500.0,25427623.46832417
TLC1,Ref,20.0,500.0,6798006.199720369
TLC1,GNN-oof-42,20.0,500.0,15614788.023850013
TLC1,GNN-oof-123,20.0,500.0,15035968.151559807
TLC1,GNN-oof-456,20.0,500.0,17629436.407780427
London,Uni,5.0,100.0,10769164.746756408
London,LU,5.0,100.0,9101331.470802806
London,LU-soft,5.0,100.0,10155902.63596297
London,Ref,5.0,100.0,4170192.138911149
London,GNN-oof-42,5.0,100.0,8935708.436653225
London,GNN-oof-123,5.0,100.0,8013394.225808347
London,GNN-oof-456,5.0,100.0,9194642.315898975
London,Uni,5.0,300.0,14875361.123491555
London,LU,5.0,300.0,12171521.879045436
London,LU-soft,5.0,300.0,13768881.656451782
London,Ref,5.0,300.0,6263537.807375542
London,GNN-oof-42,5.0,300.0,12480758.64295099
London,GNN-oof-123,5.0,300.0,11590771.632847961
London,GNN-oof-456,5.0,300.0,12899463.637285981
London,Uni,5.0,500.0,16062680.650772724
London,LU,5.0,500.0,13075863.521404846
London,LU-soft,5.0,500.0,14664873.491799477
London,Ref,5.0,500.0,6847312.558789446
London,GNN-oof-42,5.0,500.0,13450469.99621677
London,GNN-oof-123,5.0,500.0,12511354.233749917
London,GNN-oof-456,5.0,500.0,14112483.039709501
London,Uni,10.0,100.0,8376725.912598722
London,LU,10.0,100.0,5421914.626636927
London,LU-soft,10.0,100.0,6231823.777885924
London,Ref,10.0,100.0,1411439.4155313564
London,GNN-oof-42,10.0,100.0,5978522.694669185
