country,region,arm,radius_km,dc_mw,eta,e_budget_mva,eps_max_mva,budget_realised,L_E,L_E_bound,L_S,L_S_bound,slack_E,slack_S,valid_E,valid_S
uk,London,Uni,10.0,100.0,0.5,671.0998332175944,754.268445445033,False,8376725.912598722,175090187.5263133,155399.63499999885,255751051.89946112,166713461.61371458,255595652.26446113,True,True
uk,London,Uni,10.0,300.0,0.5,671.0998332175944,754.268445445033,False,17540784.965200804,199279943.35881826,0.0,104688698.0290829,181739158.39361745,104688698.0290829,True,True
uk,London,Uni,10.0,500.0,0.5,671.0998332175944,754.268445445033,False,21638907.715446766,211215288.6155068,0.0,32361792.43576181,189576380.90006003,32361792.43576181,True,True
uk,London,Uni,10.0,100.0,0.8,1052.6304521548975,754.268445445033,True,8376725.912598722,298892606.5979692,155399.63499999885,419809218.04250133,290515880.68537045,419653818.40750134,True,True
uk,London,Uni,10.0,300.0,0.8,1052.6304521548975,754.268445445033,True,17540784.965200804,326247471.8264437,0.0,178995616.46024925,308706686.8612429,178995616.46024925,True,True
uk,London,Uni,10.0,500.0,0.8,1052.6304521548975,754.268445445033,True,21638907.715446766,340875700.4188997,0.0,73560505.6784288,319236792.70345294,73560505.6784288,True,True
uk,London,Uni,10.0,100.0,0.9,1352.4808446009122,754.268445445033,True,8376725.912598722,400211708.0444824,155399.63499999885,548744886.7942877,391834982.1318837,548589487.1592877,True,True
uk,London,Uni,10.0,300.0,0.9,1352.4808446009122,754.268445445033,True,17540784.965200804,429550467.47321,0.0,245794405.98063856,412009682.5080092,245794405.98063856,True,True
uk,London,Uni,10.0,500.0,0.9,1352.4808446009122,754.268445445033,True,21638907.715446766,446169271.6981171,0.0,115639923.31741035,424530363.9826703,115639923.31741035,True,True
uk,London,Uni,10.0,100.0,1.0,1528.6421924021042,754.268445445033,True,8376725.912598722,461144090.1150858,155399.63499999885,624494266.3488002,452767364.20248705,624338866.7138002,True,True
uk,London,Uni,10.0,300.0,1.0,1528.6421924021042,754.268445445033,True,17540784.965200804,491630565.9274391,0.0,289830219.70451736,474089780.9622383,289830219.70451736,True,True
uk,London,Uni,10.0,500.0,1.0,1528.6421924021042,754.268445445033,True,21638907.715446766,509389454.4847068,0.0,150650197.12432092,487750546.76926005,150650197.12432092,True,True
uk,London,LU,10.0,100.0,0.5,632.0703984081495,446.74403104239263,True,5421914.626636927,159499112.845921,155399.63499999885,242936384.02747098,154077198.2192841,242780984.392471,True,True
uk,London,LU,10.0,300.0,0.5,632.0703984081495,446.74403104239263,True,13131733.231655024,184322945.53436688,643715.2712339064,206443184.60462224,171191212.30271184,205799469.33338833,True,True
uk,London,LU,10.0,500.0,0.5,632.0703984081495,446.74403104239263,True,15982354.85502236,197017850.2382393,0.0,94975364.04286334,181035495.38321692,94975364.04286334,True,True
uk,London,LU,10.0,100.0,0.8,937.0403006582351,446.74403104239263,True,5421914.626636927,256938778.09359956,155399.63499999885,374073441.9950077,251516863.46696264,373918042.3600077,True,True
uk,London,LU,10.0,300.0,0.8,937.0403006582351,446.74403104239263,True,13131733.231655024,284825515.5405561,643715.2712339064,324466536.77540535,271693782.3089011,323822821.50417143,True,True
uk,London,LU,10.0,500.0,0.8,937.0403006582351,446.74403104239263,True,15982354.85502236,300148442.2925388,0.0,154341335.8403208,284166087.43751645,154341335.8403208,True,True
